User,CARD INDEX,Card Brand,Card Type,Expires,Has Chip,Credit Limit,Acct Open Date,Name Initials,ID_3
984,0,Mastercard,Debit,11/2023,YES,$31219,02/2020,LJ,35
984,1,Mastercard,Debit,11/2021,YES,$20619,07/2018,LJ,35
984,2,Mastercard,Debit (Prepaid),04/2019,YES,$74,10/2009,LJ,35
662,0,Visa,Credit,01/2023,YES,$200,02/2012,JW,36
662,1,Mastercard,Debit,07/2021,YES,$282,12/2007,JW,36
662,2,Mastercard,Debit,12/2019,YES,$350,03/2005,JW,36
901,0,Mastercard,Debit,07/2024,NO,$16923,06/2014,AK,37
901,1,Amex,Credit,04/2020,YES,$14800,06/2004,AK,37
901,2,Visa,Debit (Prepaid),09/2009,YES,$49,09/2006,AK,37
1752,0,Visa,Credit,06/2022,NO,$11500,02/2010,BK,38
1752,1,Mastercard,Debit,09/2021,NO,$14958,12/2005,BK,38
1752,2,Visa,Debit (Prepaid),03/2021,YES,$20,09/2008,BK,38
1752,3,Mastercard,Debit,06/2008,NO,$4581,10/2006,BK,38
279,0,Mastercard,Credit,04/2021,YES,$11900,01/2020,JP,39
279,1,Amex,Credit,07/2023,YES,$12700,02/2020,JP,39
678,0,Mastercard,Debit (Prepaid),07/2013,NO,$60,11/2012,FR,40
678,1,Visa,Credit,01/2023,YES,$7000,01/2020,FR,40
678,2,Mastercard,Debit,03/2023,YES,$7139,01/2020,FR,40
678,3,Discover,Credit,03/2024,YES,$5200,07/2011,FR,40
678,4,Mastercard,Debit,09/2021,YES,$10199,01/2020,FR,40
678,5,Mastercard,Credit,02/2024,YES,$9800,09/2009,FR,40
398,0,Mastercard,Debit (Prepaid),08/2017,YES,$80,03/2002,JT,41
398,1,Visa,Credit,03/2023,YES,$5400,05/2007,JT,41
398,2,Amex,Credit,06/2021,YES,$11000,04/2010,JT,41
398,3,Visa,Debit,03/2012,YES,$8374,06/2006,JT,41
800,0,Visa,Debit,12/2021,YES,$13971,12/2010,AP,42
800,1,Mastercard,Credit,03/2020,YES,$7100,10/2003,AP,42
800,2,Visa,Credit,06/2020,YES,$0,05/2016,AP,42
405,0,Visa,Debit,10/2013,YES,$17173,02/1997,CE,43
405,1,Visa,Credit,03/2020,YES,$22000,08/2013,CE,43
405,2,Mastercard,Debit,11/2009,YES,$29739,11/2004,CE,43
319,0,Mastercard,Debit,12/2024,YES,$10400,11/2010,HH,44
319,1,Mastercard,Debit,07/2020,YES,$43169,03/2005,HH,44
319,2,Mastercard,Debit,10/2023,YES,$5269,01/2003,HH,44
319,3,Mastercard,Debit,12/2024,YES,$48370,04/2001,HH,44
319,4,Visa,Credit,11/2019,YES,$17100,06/2018,HH,44
319,5,Visa,Debit (Prepaid),04/2024,YES,$65,10/2003,HH,44
948,0,Visa,Debit,11/2015,NO,$12810,04/2008,BR,45
948,1,Mastercard,Credit,09/2012,YES,$9300,09/2005,BR,45
948,2,Mastercard,Debit,10/2017,YES,$7564,11/2004,BR,45
1775,0,Mastercard,Debit (Prepaid),08/2023,YES,$8,06/2011,KM,46
1775,1,Mastercard,Debit,07/2020,NO,$1955,02/2005,KM,46
1356,0,Amex,Credit,10/2014,YES,$9000,08/2006,FR,47
1356,1,Mastercard,Debit,12/2022,YES,$12868,06/2008,FR,47
1356,2,Mastercard,Debit,02/2020,YES,$27773,06/2009,FR,47
569,0,Mastercard,Debit,09/2020,YES,$18244,07/2012,SP,48
569,1,Visa,Debit (Prepaid),09/2023,YES,$81,09/2015,SP,48
569,2,Amex,Credit,12/2022,YES,$13700,01/2003,SP,48
569,3,Mastercard,Credit,06/2020,YES,$6000,12/2008,SP,48
569,4,Mastercard,Debit,11/2024,YES,$16409,05/1998,SP,48
569,5,Visa,Debit,03/2022,YES,$15822,09/2006,SP,48
646,0,Visa,Debit,12/2017,YES,$22122,10/2015,UC,49
646,1,Mastercard,Debit,01/2023,YES,$21240,09/2004,UC,49
646,2,Visa,Debit,07/2023,YES,$33181,09/2013,UC,49
646,3,Visa,Credit,11/2016,YES,$13900,06/2008,UC,49
140,0,Visa,Credit,05/2023,YES,$9800,01/2006,NS,50
140,1,Visa,Debit,01/2018,YES,$24544,06/2006,NS,50
140,2,Mastercard,Debit,05/2023,YES,$22639,05/2008,NS,50
140,3,Discover,Credit,11/2023,YES,$1100,07/2015,NS,50
140,4,Mastercard,Debit (Prepaid),05/2016,YES,$86,04/2013,NS,50
1394,0,Mastercard,Debit,02/2020,YES,$16249,11/2007,ZD,51
1394,1,Visa,Debit,11/2021,YES,$14036,11/2005,ZD,51
526,0,Visa,Credit,03/2020,YES,$3900,04/2014,SF,52
1273,0,Mastercard,Debit,08/2022,YES,$19038,10/2008,HD,53
1273,1,Mastercard,Debit,03/2012,YES,$23632,06/2007,HD,53
1023,0,Mastercard,Debit,04/2020,YES,$10107,08/2019,AL,54
640,0,Mastercard,Debit,08/2022,YES,$13857,01/2020,SM,55
640,1,Mastercard,Debit,09/2021,YES,$10236,02/2020,SM,55
416,0,Visa,Credit,08/2022,YES,$8000,12/2005,MH,56
416,1,Amex,Credit,01/2023,YES,$2200,02/2019,MH,56
416,2,Visa,Credit,10/2024,YES,$6800,01/2020,MH,56
416,3,Mastercard,Debit,03/2020,YES,$427,05/2008,MH,56
1642,0,Mastercard,Debit,09/2020,YES,$7284,01/2020,SM,57
748,0,Mastercard,Debit,01/2024,YES,$17612,09/2013,AG,58
748,1,Mastercard,Credit,03/2020,YES,$12200,11/2005,AG,58
1657,0,Visa,Debit,08/2022,YES,$23156,02/2020,TM,59
1657,1,Visa,Debit,02/2024,YES,$30041,07/2010,TM,59
1657,2,Mastercard,Debit,02/2024,YES,$29137,10/2011,TM,59
1657,3,Amex,Credit,07/2021,YES,$10400,09/2004,TM,59
1657,4,Mastercard,Credit,02/2022,YES,$13500,06/2008,TM,59
1657,5,Mastercard,Debit,02/2023,YES,$17663,11/2016,TM,59
21,0,Visa,Debit,08/2023,YES,$68400,01/2020,GD,60
21,1,Mastercard,Debit,04/2023,YES,$77237,01/2020,GD,60
1360,0,Mastercard,Credit,02/2020,YES,$13500,02/2020,TM,61
1360,1,Visa,Debit,09/2024,YES,$17432,01/2020,TM,61
853,0,Visa,Debit,06/2015,YES,$54768,05/2014,ZG,62
853,1,Mastercard,Debit,05/2015,YES,$36982,08/2006,ZG,62
853,2,Mastercard,Credit,09/2012,YES,$19500,01/2005,ZG,62
853,3,Mastercard,Debit,05/2020,YES,$43863,10/2007,ZG,62
853,4,Mastercard,Debit,03/2023,YES,$27050,10/2009,ZG,62
853,5,Mastercard,Debit,02/2020,YES,$33468,09/2007,ZG,62
705,0,Amex,Credit,08/2010,YES,$13900,10/2004,HF,63
705,1,Visa,Credit,07/2022,YES,$19700,05/2002,HF,63
705,2,Visa,Debit,09/2020,YES,$29740,12/2006,HF,63
705,3,Visa,Debit,07/2023,YES,$30039,02/1998,HF,63
480,0,Visa,Debit (Prepaid),03/2021,YES,$24,04/2001,WR,64
1268,0,Visa,Debit,10/2023,NO,$11912,01/2014,PG,65
1268,1,Mastercard,Debit,12/2024,YES,$13064,09/2017,PG,65
1268,2,Mastercard,Debit,10/2016,YES,$8912,10/2015,PG,65
1266,0,Amex,Credit,06/2022,YES,$20800,10/2010,KW,66
1266,1,Amex,Credit,11/2020,YES,$11700,02/2020,KW,66
1266,2,Visa,Debit,06/2022,YES,$33028,01/2020,KW,66
1266,3,Visa,Debit,04/2024,YES,$19830,12/2013,KW,66
1266,4,Mastercard,Debit,02/2019,YES,$22482,07/2015,KW,66
1266,5,Visa,Credit,08/2023,YES,$22400,10/2002,KW,66
1266,6,Visa,Debit (Prepaid),10/2024,YES,$62,05/2010,KW,66
1930,0,Visa,Credit,04/2020,YES,$2400,03/2014,LR,67
1930,1,Visa,Credit,11/2024,YES,$18600,02/2008,LR,67
1930,2,Mastercard,Debit,02/2024,YES,$15422,12/1999,LR,67
521,0,Mastercard,Credit,10/2021,YES,$9600,11/2004,LN,68
521,1,Visa,Debit,04/2022,YES,$15112,07/2005,LN,68
521,2,Mastercard,Credit,09/2024,YES,$11100,01/2020,LN,68
521,3,Visa,Debit,06/2023,YES,$14295,02/2010,LN,68
1055,0,Amex,Credit,12/2020,YES,$11200,02/2020,JS,69
1055,1,Visa,Debit,12/2021,YES,$16479,01/2020,JS,69
1130,0,Mastercard,Debit,01/2015,YES,$18109,11/2007,KS,70
1130,1,Mastercard,Debit,05/2020,YES,$14802,01/2006,KS,70
1130,2,Mastercard,Credit,06/2022,YES,$7600,04/2011,KS,70
1904,0,Discover,Credit,12/2024,YES,$18400,12/2011,MT,71
1904,1,Mastercard,Debit,07/2024,YES,$12610,10/2001,MT,71
1904,2,Mastercard,Debit,08/2020,YES,$10471,01/2008,MT,71
1904,3,Amex,Credit,02/2023,YES,$25100,06/2010,MT,71
1948,0,Mastercard,Credit,02/2020,YES,$5700,12/2016,JA,72
1948,1,Visa,Credit,03/2023,YES,$8600,11/2004,JA,72
1948,2,Mastercard,Debit,05/2024,YES,$12586,04/2009,JA,72
1449,0,Visa,Credit,01/2021,YES,$12400,02/2020,MS,73
1449,1,Amex,Credit,11/2023,YES,$8200,02/2009,MS,73
1743,0,Visa,Credit,08/2022,YES,$18400,03/2015,SS,74
71,0,Visa,Credit,04/2018,YES,$14400,06/2010,NM,75
71,1,Visa,Credit,04/2020,YES,$4400,07/2012,NM,75
71,2,Mastercard,Credit,03/2020,YES,$13000,02/2020,NM,75
71,3,Visa,Debit,04/2023,YES,$22701,02/2020,NM,75
325,0,Visa,Debit (Prepaid),01/2017,YES,$83,12/2007,AT,76
1012,0,Discover,Credit,10/2022,YES,$21400,02/2010,KR,77
1244,0,Mastercard,Debit,04/2023,YES,$2049,02/2020,AL,78
1244,1,Amex,Credit,12/2022,NO,$7600,02/2020,AL,78
1244,2,Mastercard,Debit,01/2024,YES,$14670,01/2020,AL,78
683,0,Mastercard,Credit,05/2021,YES,$21900,09/2012,MW,79
683,1,Visa,Credit,01/2014,YES,$18700,12/2007,MW,79
683,2,Visa,Credit,02/2021,YES,$29200,05/2000,MW,79
683,3,Discover,Credit,06/2024,YES,$26600,07/2005,MW,79
683,4,Visa,Debit,10/2021,YES,$17280,01/2006,MW,79
1213,0,Mastercard,Debit,11/2022,YES,$1044,03/2016,EC,80
1213,1,Mastercard,Debit,09/2018,YES,$746,03/2011,EC,80
1213,2,Mastercard,Debit (Prepaid),02/2020,YES,$61,02/2020,EC,80
988,0,Mastercard,Debit,01/2021,YES,$24878,08/2008,KP,81
988,1,Amex,Credit,05/2023,YES,$23900,04/2010,KP,81
988,2,Mastercard,Debit,02/2022,YES,$9213,08/2005,KP,81
1272,0,Mastercard,Debit,10/2022,YES,$32557,03/2008,MF,82
1272,1,Mastercard,Debit,02/2021,NO,$21820,12/2011,MF,82
1272,2,Mastercard,Debit,06/2024,YES,$14448,09/2005,MF,82
1903,0,Mastercard,Credit,10/2015,YES,$10300,07/2001,AR,83
1903,1,Mastercard,Debit,09/2007,YES,$17775,09/2000,AR,83
1903,2,Mastercard,Debit,07/2021,YES,$6056,07/2011,AR,83
1903,3,Visa,Debit,08/2020,YES,$1736,06/2003,AR,83
1903,4,Mastercard,Debit,05/2022,YES,$20573,12/2006,AR,83
1946,0,Mastercard,Credit,09/2018,NO,$5900,09/2010,BL,84
1946,1,Mastercard,Debit,10/2024,YES,$5082,08/2008,BL,84
1946,2,Visa,Debit,05/2016,NO,$7003,03/2006,BL,84
1946,3,Mastercard,Debit,07/2024,YES,$7364,04/2004,BL,84
1946,4,Mastercard,Debit,12/2020,YES,$9513,12/2009,BL,84
120,0,Mastercard,Debit (Prepaid),10/2006,YES,$26,07/2006,YJ,85
120,1,Mastercard,Credit,05/2013,YES,$16300,11/2007,YJ,85
937,0,Discover,Credit,11/2024,YES,$8700,04/2016,PL,86
937,1,Mastercard,Debit,10/2023,NO,$11900,07/2009,PL,86
937,2,Mastercard,Credit,10/2023,YES,$5700,09/2010,PL,86
937,3,Visa,Credit,06/2022,YES,$3400,02/2014,PL,86
937,4,Discover,Credit,05/2023,YES,$5300,09/2008,PL,86
1730,0,Mastercard,Debit,04/2020,YES,$47153,02/2002,NG,87
1730,1,Visa,Debit,12/2022,YES,$25010,07/2010,NG,87
1156,0,Mastercard,Debit,12/2020,YES,$51133,12/2012,ME,88
1156,1,Mastercard,Debit (Prepaid),07/2024,YES,$115,01/2020,ME,88
1156,2,Mastercard,Debit (Prepaid),09/2020,YES,$54,03/2014,ME,88
1156,3,Mastercard,Debit,08/2023,YES,$32036,06/2014,ME,88
1744,0,Visa,Debit,01/2018,YES,$17314,06/2008,JW,89
1744,1,Mastercard,Debit,10/2020,YES,$20999,05/2005,JW,89
1744,2,Visa,Debit,11/2006,YES,$7199,10/2006,JW,89
1411,0,Visa,Debit,09/2021,YES,$16210,02/2017,JB,90
1411,1,Visa,Credit,02/2020,YES,$15200,01/2020,JB,90
1411,2,Mastercard,Debit,10/2023,YES,$24200,01/2020,JB,90
1849,0,Visa,Credit,04/2023,YES,$7500,02/2020,MR,91
1253,0,Mastercard,Debit,09/2022,YES,$12501,02/2014,HP,92
1253,1,Mastercard,Debit (Prepaid),01/2023,YES,$71,08/2014,HP,92
1253,2,Mastercard,Debit,01/2011,YES,$11164,06/2009,HP,92
1591,0,Visa,Debit,10/2024,NO,$26206,02/2018,KK,93
1591,1,Mastercard,Debit,04/2021,YES,$31113,10/2013,KK,93
1591,2,Mastercard,Credit,02/2020,YES,$21100,01/2020,KK,93
1591,3,Visa,Credit,06/2023,YES,$17100,01/2017,KK,93
1591,4,Visa,Debit,06/2020,YES,$66287,02/2020,KK,93
1949,0,Mastercard,Debit,02/2020,YES,$36967,02/2020,DM,94
1949,1,Mastercard,Debit,02/2020,YES,$28458,02/2020,DM,94
395,0,Visa,Debit,01/2023,YES,$24501,08/2019,RR,95
395,1,Visa,Credit,11/2020,YES,$15100,06/2005,RR,95
395,2,Mastercard,Debit,07/2023,YES,$14709,12/2004,RR,95
395,3,Mastercard,Debit,08/2020,NO,$45782,11/2010,RR,95
1724,0,Visa,Debit,05/2022,YES,$10523,10/2011,JR,96
1724,1,Amex,Credit,02/2020,YES,$8900,02/2020,JR,96
1665,0,Mastercard,Debit,01/2011,YES,$11199,12/2010,TB,97
1665,1,Visa,Debit,05/2020,YES,$8800,01/2010,TB,97
1665,2,Mastercard,Debit (Prepaid),09/2021,YES,$83,10/2013,TB,97
1665,3,Mastercard,Debit,11/2024,NO,$7217,03/2010,TB,97
1415,0,Mastercard,Debit (Prepaid),01/2014,YES,$70,09/1998,ZW,98
1415,1,Amex,Credit,04/2012,NO,$23900,03/2010,ZW,98
1415,2,Visa,Debit,09/2020,YES,$38120,06/2007,ZW,98
1415,3,Mastercard,Debit,03/2019,YES,$5753,10/2007,ZW,98
486,0,Visa,Debit (Prepaid),02/2022,YES,$65,06/2009,BG,99
486,1,Discover,Credit,08/2010,YES,$12000,08/2007,BG,99
486,2,Visa,Debit,05/2020,YES,$20723,03/2007,BG,99
486,3,Mastercard,Credit,01/2023,YES,$11500,05/2007,BG,99
486,4,Discover,Credit,04/2021,YES,$7300,12/1991,BG,99
1243,0,Mastercard,Credit,01/2023,YES,$6000,07/2004,WJ,100
1067,0,Mastercard,Credit,12/2022,YES,$8200,03/2007,TW,101
1919,0,Visa,Debit,11/2021,YES,$9599,11/2010,VC,102
1919,1,Visa,Debit,09/2021,YES,$8177,07/2013,VC,102
1919,2,Amex,Credit,01/2015,YES,$6100,02/2008,VC,102
1919,3,Mastercard,Debit,07/2020,YES,$3658,10/2010,VC,102
2,0,Mastercard,Debit,03/2022,YES,$31599,10/2009,SL,103
2,1,Mastercard,Debit,07/2023,NO,$27480,03/2002,SL,103
2,2,Mastercard,Debit,02/2020,YES,$26743,03/2019,SL,103
2,3,Visa,Debit,06/2020,YES,$31463,04/2014,SL,103
2,4,Mastercard,Debit,06/2024,YES,$16055,09/2009,SL,103
1767,0,Visa,Debit,04/2022,NO,$10693,02/2020,MN,104
1492,0,Mastercard,Debit,02/2020,YES,$27556,02/2020,LA,105
1492,1,Visa,Debit (Prepaid),08/2020,YES,$29,02/2020,LA,105
312,0,Mastercard,Credit,11/2021,YES,$6000,02/2020,KE,106
1846,0,Mastercard,Debit (Prepaid),02/2023,YES,$55,12/2009,AS,107
1932,0,Discover,Credit,03/2022,YES,$14800,12/2010,MM,108
1932,1,Mastercard,Debit,09/2024,YES,$4183,09/2010,MM,108
1932,2,Mastercard,Debit,03/2024,YES,$6732,02/2010,MM,108
1462,0,Visa,Debit,09/2023,YES,$17120,01/2008,MM,109
1462,1,Mastercard,Credit,03/2024,YES,$0,09/2006,MM,109
307,0,Visa,Debit,07/2023,YES,$2572,06/2005,RB,110
307,1,Mastercard,Credit,12/2022,YES,$5000,08/2011,RB,110
307,2,Discover,Credit,12/2013,YES,$10300,04/2004,RB,110
307,3,Amex,Credit,06/2018,YES,$11400,12/2014,RB,110
830,0,Visa,Debit,02/2020,YES,$11029,02/2020,TW,111
1183,0,Visa,Credit,11/2013,YES,$6600,08/2010,NL,112
1183,1,Visa,Credit,11/2011,YES,$11400,02/2010,NL,112
902,0,Amex,Credit,07/2020,YES,$19000,02/2020,KR,113
902,1,Mastercard,Debit,04/2022,YES,$22067,02/2020,KR,113
902,2,Visa,Credit,01/2023,YES,$11500,02/2020,KR,113
1258,0,Visa,Credit,05/2018,NO,$6200,05/2005,JO,114
1258,1,Visa,Debit (Prepaid),04/2021,YES,$31,02/2000,JO,114
1258,2,Visa,Credit,08/2021,YES,$1000,11/2003,JO,114
1258,3,Visa,Debit (Prepaid),10/2023,YES,$77,05/2004,JO,114
1692,0,Visa,Debit,07/2024,YES,$7676,12/2006,AR,115
690,0,Visa,Credit,09/2006,YES,$11500,10/2002,YK,116
690,1,Discover,Credit,09/2021,NO,$9500,11/2011,YK,116
690,2,Visa,Debit,01/2023,YES,$13356,02/2007,YK,116
690,3,Visa,Debit,02/2020,YES,$16385,04/2003,YK,116
10,0,Visa,Debit,07/2021,YES,$25499,02/2020,AR,117
10,1,Visa,Debit,02/2020,YES,$18641,02/2020,AR,117
1426,0,Visa,Debit (Prepaid),11/2022,YES,$110,03/2007,ZB,118
1426,1,Visa,Debit,06/2021,YES,$328,09/2015,ZB,118
1426,2,Visa,Credit,11/2020,YES,$100,02/2010,ZB,118
1546,0,Visa,Debit,05/2022,YES,$23343,11/2011,RA,119
1546,1,Mastercard,Debit,11/2021,YES,$18624,10/2011,RA,119
1546,2,Visa,Debit,07/2020,YES,$15145,04/2015,RA,119
1546,3,Mastercard,Debit,02/2020,YES,$22787,04/2012,RA,119
1546,4,Visa,Debit (Prepaid),05/2023,YES,$94,12/1994,RA,119
1164,0,Mastercard,Credit,07/2022,YES,$12700,05/2010,RR,120
1164,1,Visa,Debit,12/2021,YES,$2851,01/2006,RR,120
1164,2,Amex,Credit,06/2020,YES,$4100,01/2004,RR,120
1164,3,Mastercard,Debit,01/2016,YES,$20838,01/2011,RR,120
636,0,Mastercard,Debit,02/2020,YES,$24576,02/2020,WF,121
864,0,Visa,Credit,08/2021,YES,$6600,06/2015,LG,122
864,1,Mastercard,Debit,11/2022,YES,$15149,09/2010,LG,122
864,2,Mastercard,Credit,01/2017,YES,$10100,05/2011,LG,122
864,3,Mastercard,Debit,10/2023,YES,$14720,05/2006,LG,122
864,4,Visa,Debit (Prepaid),11/2023,YES,$28,11/2003,LG,122
864,5,Mastercard,Credit,03/2019,YES,$3600,06/2015,LG,122
1734,0,Mastercard,Debit,10/2024,YES,$70187,06/2002,SS,123
1734,1,Visa,Debit,12/2021,NO,$7821,01/2011,SS,123
1734,2,Mastercard,Debit,10/2024,YES,$96637,06/2007,SS,123
1734,3,Discover,Credit,03/2022,YES,$44200,09/2016,SS,123
1734,4,Visa,Debit (Prepaid),08/2023,NO,$68,03/2007,SS,123
1734,5,Mastercard,Debit (Prepaid),01/2021,YES,$54,01/2014,SS,123
1734,6,Mastercard,Debit,05/2022,YES,$62519,07/2011,SS,123
1734,7,Visa,Debit,11/2022,YES,$87408,05/2013,SS,123
160,0,Mastercard,Debit,09/2023,YES,$5857,01/2011,EG,124
160,1,Visa,Debit,06/2020,YES,$10366,10/2007,EG,124
160,2,Visa,Debit,01/2024,YES,$10161,04/2004,EG,124
160,3,Mastercard,Debit,04/2021,YES,$9297,01/2005,EG,124
